ep_num	episode_reward	step	ep_time
1	74.88670966826231	1000	40.785431146621704
2	89.96751232075441	1000	42.623947620391846
3	63.53753722615911	1000	41.675721883773804
4	116.4426380607055	1000	41.40620470046997
5	132.2718882655562	1000	41.56004762649536
6	176.33700502986636	1000	41.694336891174316
7	193.67253090280136	1000	41.73327875137329
8	204.9804698798428	1000	41.81909203529358
9	187.05354337490905	1000	41.915467500686646
10	221.95427403379435	1000	41.99689197540283
11	216.62908281838295	1000	42.10530638694763
12	235.95641225374087	1000	42.18659234046936
13	154.08478256151858	1000	42.25053024291992
14	156.43612409160713	1000	42.376365423202515
15	198.76506567599625	1000	42.50602912902832
16	203.79305362462785	1000	42.581454038619995
17	230.70538246963048	1000	42.7563054561615
18	181.9277093260706	1000	42.786232709884644
19	189.38110593362597	1000	42.974059104919434
20	226.93431124688723	1000	43.09805679321289
21	215.25600997892917	1000	43.185829877853394
22	223.57879453616505	1000	43.205891847610474
23	182.30244118551926	1000	43.32389187812805
24	208.0660788027271	1000	43.3644003868103
25	233.2150473488833	1000	43.1431450843811
