ep_num	episode_reward	step	ep_time
1	65.8993248641456	1000	40.323161363601685
2	45.21868317278022	1000	41.40584850311279
3	77.71509760274519	1000	41.01707649230957
4	87.1208498952424	1000	41.07301616668701
5	149.0386197225442	1000	41.201693296432495
6	146.08576504066494	1000	41.32028126716614
7	175.46051844063513	1000	41.3759229183197
8	197.28602043884985	1000	41.4575092792511
9	200.90442981281592	1000	41.49128198623657
10	227.58526534775825	1000	41.61801838874817
11	201.49194287707957	1000	41.70929837226868
12	144.33193757394358	1000	41.81209874153137
13	199.83457410298718	1000	41.89830541610718
14	224.63168134615503	1000	42.02328538894653
15	185.54063224758931	1000	42.13740253448486
16	184.1711944160488	1000	42.23447632789612
17	199.2571448295353	1000	42.365387201309204
18	197.8563726936961	1000	42.47009468078613
19	244.24207315571297	1000	42.614861249923706
20	146.9477714502985	1000	42.78340148925781
21	249.7196097153354	1000	42.79552221298218
22	180.58744504035184	1000	42.86072564125061
23	213.3866297650515	1000	42.9028902053833
24	219.40620644672904	1000	42.973018407821655
25	217.4193908521205	1000	42.764564037323
