ep_num	episode_reward	step	ep_time
1	3.998994607612572	1000	34.238121509552
2	-18.49219485272318	1000	39.3198082447052
3	0.13742570511434482	1000	39.805474281311035
4	4.505881981453629	1000	39.4680335521698
5	5.8342286249699935	1000	39.87330484390259
6	11.12962919309348	1000	39.89673948287964
7	17.32034852421528	1000	39.96949815750122
8	-1.34487971170497	1000	39.906771421432495
9	31.262204559607827	1000	39.888285398483276
10	4.46850723500482	1000	40.3275887966156
11	-7.4267166054838265	1000	40.205260276794434
12	4.604694570632455	1000	39.75775480270386
13	63.816303770057864	1000	40.031715631484985
14	83.34059589297439	1000	40.216485023498535
15	21.54701210861093	1000	40.4159836769104
16	38.60315906900786	1000	40.39196562767029
17	142.50222981880833	1000	40.62314963340759
18	78.75617235595452	1000	40.86899280548096
19	130.11380024919407	1000	40.77007293701172
20	43.68516176163606	1000	40.80613970756531
21	84.55387536854298	1000	41.277820348739624
22	62.41379234395132	1000	41.325578927993774
23	101.67428840668686	1000	41.172698736190796
24	18.16834212046481	1000	41.57114505767822
25	22.04628468453296	1000	40.98092079162598
