ep_num	episode_reward	step	ep_time
1	28.417862857993196	1000	38.47888708114624
2	27.969831099766157	1000	40.752514123916626
3	38.49613295213105	1000	40.814459562301636
4	26.521991735753474	1000	40.42839694023132
5	31.06165652634522	1000	39.30048704147339
6	16.21455630859753	1000	39.42750835418701
7	24.766434605194615	1000	39.488391637802124
8	39.20924755704257	1000	39.52266073226929
9	29.896169014000947	1000	39.52488112449646
10	19.723996702695786	1000	39.67099213600159
11	42.36612429845666	1000	39.823370933532715
12	16.463869985561555	1000	39.86262822151184
13	50.6288932399316	1000	39.959619998931885
14	34.24246165992203	1000	40.071460008621216
15	44.10537477851167	1000	40.169511795043945
16	52.18724385800032	1000	40.33034706115723
17	71.99182335157029	1000	40.37885046005249
18	60.355212044916584	1000	40.539735317230225
19	99.31608054206993	1000	40.63493227958679
20	65.38986276613652	1000	40.73853659629822
21	49.471212704559875	1000	40.83566641807556
22	125.51429638440419	1000	40.932804346084595
23	120.67348722981365	1000	40.980735778808594
24	32.412949087698685	1000	41.02995491027832
25	38.20414969488355	1000	40.82703351974487
