ep_num	episode_reward	step	ep_time
1	21.15863138526737	1000	34.233149766922
2	49.444563586163845	1000	39.64699339866638
3	24.360908700688306	1000	39.91666007041931
4	30.881357579085243	1000	39.61071157455444
5	-20.828673367265353	1000	39.94102358818054
6	38.703065682984644	1000	40.03110384941101
7	29.900684486216953	1000	40.168328046798706
8	45.1539945050912	1000	39.90700554847717
9	26.096112756893184	1000	39.865564823150635
10	46.6223744692823	1000	40.32304358482361
11	28.784196861730095	1000	40.2615852355957
12	21.90986811720477	1000	40.07754445075989
13	42.64654237314059	1000	40.16059160232544
14	60.49228723139485	1000	40.388362407684326
15	54.698342257753865	1000	40.54309558868408
16	46.62096255908836	1000	40.62227249145508
17	54.87961161318996	1000	40.521451473236084
18	51.37470809502999	1000	40.68105220794678
19	64.66531648238872	1000	40.745818853378296
20	40.06291991207261	1000	40.98169565200806
21	48.542256896804545	1000	40.902803897857666
22	83.11230599056242	1000	40.99362087249756
23	52.56050723689987	1000	41.452553272247314
24	65.0364290208077	1000	41.40207362174988
25	82.67813693685011	1000	41.14694666862488
