ep_num	episode_reward	step	ep_time
1	29.761935117247926	1000	37.918254137039185
2	-6.415232820944848	1000	40.248777627944946
3	49.14140903787526	1000	40.324567794799805
4	13.68168705565028	1000	40.34101748466492
5	2.0622997817350823	1000	40.32444095611572
6	56.4362058810441	1000	40.44924306869507
7	49.77710513344828	1000	40.49367141723633
8	52.29993357272109	1000	40.35125780105591
9	31.021640827140725	1000	39.36712050437927
10	46.68038862347953	1000	39.46383786201477
11	79.33295202168776	1000	39.58465838432312
12	37.532419887969276	1000	39.67496085166931
13	39.18273308410573	1000	39.74119830131531
14	68.02567675798835	1000	39.83457136154175
15	38.66061424583453	1000	39.97748947143555
16	82.68905779867215	1000	40.06896471977234
17	41.76996870230236	1000	40.22060513496399
18	73.90307696450644	1000	40.40770864486694
19	29.582596749967426	1000	40.51984357833862
20	72.16561698796619	1000	40.55458116531372
21	82.44072611874907	1000	40.700299978256226
22	38.471301400540625	1000	40.805198669433594
23	30.261003836718174	1000	40.80596876144409
24	40.00986716864423	1000	40.89244771003723
25	71.73524416515235	1000	40.78553223609924
