ep_num	episode_reward	step	ep_time
1	1.7381679862461175	1000	36.76357889175415
2	24.784211671293	1000	38.75370669364929
3	45.44733045709267	1000	38.8581907749176
4	60.06094209201515	1000	38.91564726829529
5	70.27274416635989	1000	39.001376152038574
6	26.467318016904954	1000	39.10667586326599
7	81.67052856971989	1000	39.13997983932495
8	76.61159084269197	1000	39.174843549728394
9	114.86302104725112	1000	39.236984968185425
10	39.825984613485815	1000	39.3808913230896
11	112.88924155252224	1000	39.51417565345764
12	84.66980507907273	1000	39.56279230117798
13	93.00789992981723	1000	39.62291741371155
14	45.831641740151355	1000	39.67538857460022
15	81.76201096204562	1000	39.809858322143555
16	99.98881852998667	1000	39.88196420669556
17	25.455993949302083	1000	40.019264936447144
18	66.64556970502358	1000	40.197869539260864
19	128.50072346915863	1000	40.3207848072052
20	67.00958003393919	1000	40.40168809890747
21	126.15280771003623	1000	40.48825001716614
22	142.95494744730973	1000	40.58665752410889
23	27.89879013983764	1000	40.612881660461426
24	132.70304535663433	1000	40.671993255615234
25	67.45602612675899	1000	40.76311159133911
